,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2011-12-01,6.385058950553,7.00224409522,4.367914595167,2.715475847201,5.660725488665,4.423137502447,2.228432377172,6.102739856751,6.040827374535,5.36920147069,5.138374114216,2.096832807518,4.124964533816,5.273010253346,5.962189976741,2.697477066726,2.629938215655,5.228154076637,5.528080465894,2.903945468641,4.165290649327,5.299282680239,4.092315266908,3.224581158273,4.495526902222,6.1606194123,6.089544749276,6.797057357337,5.869901598911,3.232860454881,2.362320280187,6.025130415285
2011-11-01,7.108563814034,6.789705536411,5.754121917059,2.970088586222,5.873809557355,4.1085277404,2.362830653433,6.639289024635,6.125710289829,5.502132216809,5.426579899094,2.769709225074,4.544518899623,5.400869482488,6.157749485699,3.365143873012,3.272770297101,5.404697558234,6.247041249635,2.800325549755,4.596007892749,4.928081711061,4.54252642259,3.813072500348,5.697172949789,6.346185261069,6.392691300128,6.527789744293,6.393558790983,3.758995536179,2.617612944618,6.503239477723
2011-10-01,7.575115591346,6.690296862521,6.543479473971,3.206427361582,5.846850874029,4.820834649445,2.348817415548,7.194409130078,6.670122914833,5.955148076223,5.777792378235,2.536184077754,4.026632382001,5.445466894522,5.869502618882,3.549409899841,3.546963081299,5.489853420808,6.39824450301,2.640044502894,4.634992300174,5.347030755479,4.89011177511,4.630058939154,6.056857455144,7.134874328999,6.985104222115,7.355195233383,6.818151729009,4.844669161923,2.892535103897,7.427636380594
2011-09-01,8.257312642639,6.149472908509,7.394240961391,2.997178389034,6.379095565982,4.827816800646,2.397067107729,7.756674557409,6.991124035523,6.228993769605,6.029280350405,3.147827491288,4.401642579616,5.47608764598,6.223010844395,2.982998688916,3.702695656905,5.882373951413,6.598792746325,2.628615794008,4.730459017874,5.712911114909,4.779512512322,4.635966450742,6.149063125117,7.318990377702,7.108815551514,7.91059786824,6.644187760081,4.934964222674,3.054924813232,7.115854165982
2011-08-01,7.625429029499,5.948853257527,6.739310531377,2.875279811526,6.202727904189,4.848498978534,2.306798723125,7.236235734503,7.15168371261,6.566706518202,6.020961651829,2.812536275252,4.148938189509,5.52456320137,6.748108357208,2.761217155058,3.385830624786,6.08291600627,6.568610929464,2.715279373344,4.463395703209,6.043303869965,4.934410943176,4.441922585578,5.70130934401,6.951098872095,7.036072704341,8.964610776382,6.54465552682,4.434679835155,2.775250627733,7.463127898384
2011-07-01,7.129834939784,5.104337060838,5.960963051938,3.368819335207,6.36131017101,4.119741495769,2.304331547867,6.667457897331,6.552021798197,6.488867268611,5.961297727429,2.952701464387,4.519404067437,5.640777455261,7.084630560157,2.410064449855,3.32935171173,5.555639440395,6.617604264272,2.749376078097,4.718789905554,6.573379474125,4.487296731532,3.976527790848,5.700320381071,5.703748207094,6.723811869065,8.465428894382,6.145292870351,3.561709631904,2.606550171731,6.604213814563
2011-06-01,6.287037064173,5.579828419432,5.613812649731,3.743889259584,6.290459564941,4.537887180392,1.988720244843,6.426921680929,5.964787461305,7.173621873516,6.044285819792,2.409057476868,4.958112529156,5.705400670628,6.613181860615,2.840750096897,3.431190360274,5.137915383038,6.042990263535,2.656812010921,5.194453281854,6.612791888655,4.477384822053,3.973357552471,5.249415298571,5.771809245661,6.343221355648,8.402397090758,6.611318655974,3.591966447062,2.449663980247,6.412103338526
2011-05-01,6.169796604313,5.465861788484,5.580716932172,3.551026521521,5.708473293635,4.106828910183,1.855142708069,6.372334518269,5.7412907355,6.53255697323,5.737182371641,2.386452515031,4.422932434177,5.38923460806,6.101171950584,2.862226810651,3.32465063091,4.079687904843,5.753122414136,2.801048401473,5.077438122741,6.080428736706,3.956000266639,3.948835594183,4.603097821382,5.978402902281,6.325600122908,7.262549581017,6.700657738902,3.689167076328,2.422700235524,6.33491902177
2011-04-01,5.998083167409,5.872061303256,5.912033176558,2.864606897334,5.418075867245,4.201980542006,1.778515209648,7.212418218104,5.853066280094,6.426280070591,5.998577226803,2.067318720716,4.443757584102,5.218857852623,6.089771181598,3.105216534289,3.503964388534,3.922664498358,5.644417672318,2.948525036036,4.626231629011,5.684533141263,3.891371553517,4.078615037248,4.524418123574,6.811854208695,6.196858638733,7.500421884699,6.838501072082,3.955678345284,2.583266649175,6.721788505825
2011-03-01,6.123687572529,5.429910984698,5.910918042652,2.404900797593,5.541237473545,4.171486388274,2.02742511555,7.446712135376,6.327197554284,7.060807571758,6.43558404886,2.046916029011,4.568899130697,4.803115837539,6.038790073244,3.026261700879,3.539251892178,3.907266094282,6.234532680484,3.356741078357,4.307827262145,5.795969245996,4.331011904732,4.119359158723,4.54699803866,6.839697546802,6.550954010313,6.67495664853,7.384237172809,3.99807387914,2.931298563356,6.866932359137
2011-02-01,6.555556722609,5.309783519701,5.062687212436,2.363950400275,6.153581386213,4.913183365895,2.453488705911,6.60395174885,6.111679269488,6.540915302588,6.972276773814,1.831030703363,4.632371347793,4.898927288485,6.44647741032,3.168099966284,3.315748829102,3.900730002909,6.18639937755,3.136518489739,4.554483394106,6.373076148697,4.72913158311,4.021929268996,4.263217862657,6.804927895584,6.71967929345,7.153308446392,7.232620419591,4.286917515886,2.81414667696,6.323432965802
2011-01-01,6.714011797096,5.151892869563,5.012651592822,2.514902338123,6.910422051566,4.86281180872,2.722904536063,6.530658322122,6.081354217372,6.933072396298,6.84871400209,2.182561086787,4.322047837985,5.147141998515,6.233274608533,3.02352106676,3.699221586404,4.18747741181,6.173802128576,3.0141780446,4.254833559051,6.677546374814,4.790585354426,3.796874059274,4.018863135066,6.702580261891,7.380214620603,6.998802482258,6.89286212291,3.79500648378,2.57922134603,5.443560562874
2010-12-01,6.952601383417,5.331927922952,5.679588033563,2.708936514386,6.915688429237,4.409833979731,2.770376744902,5.53437798882,6.445098937673,5.623352176706,5.788565326453,2.10245342544,3.93486944355,5.486396448374,6.527298257765,3.493494226868,3.878832039277,3.816874171104,5.78040274004,2.574177242481,4.151171133427,7.137844081768,5.06052354665,4.261671675338,4.06079738802,7.542174178775,8.173771192901,7.67747905081,6.573710297604,3.779031766491,2.471221664352,5.142773731236
2010-11-01,6.644063530368,5.723259192416,6.522191086771,3.063895315839,7.763102708207,4.219275619087,2.738353953471,6.457301309477,7.211301626958,6.299995857924,5.81435309483,2.275349731124,4.287526783749,5.589142691395,6.903102231138,3.464480928449,4.655394907472,4.592489097856,6.014238216216,2.53658069212,4.033839266974,7.212918935381,5.14008762581,4.27665366853,4.259323979642,8.006172548213,8.410369374095,7.859722904714,6.791082853887,3.256199550726,3.139050823602,4.67155103477
2010-10-01,6.8351817864,6.02624681611,6.592343652769,3.421158908597,7.312079112793,4.45278029051,2.918718086147,6.799405279024,7.039868304695,5.874112444755,5.689868631403,2.207523521449,3.967076864335,5.619266095633,6.988403972977,3.878950333084,4.517968822709,5.000831490663,6.051680051973,2.411775659036,3.942799584882,6.561953713807,5.799847199542,4.078041176959,5.050220025564,8.637187655065,8.838140177134,8.290192971464,6.910553210804,3.440540446878,3.660147439361,4.550609128716
2010-09-01,6.348468797711,5.929732802067,6.395151523455,3.630771836901,7.693682999623,4.87522532249,2.853220462334,7.716383747195,6.85197496745,5.759197446105,6.514132012279,1.918020508576,4.619784093064,5.799311786337,7.120047215839,3.691713201591,4.301480761162,5.092250459993,6.776077336218,2.136260332548,3.657836148171,6.326338244531,5.281045488711,3.645651461642,4.943736653066,8.041986031852,8.032081800158,7.984080228386,6.850484833987,3.790565671279,3.562949995545,4.163518458577
